recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1765460910234,47,47,1765460910128,106,0,2,loss5
1765460910237,48,48,1765460910179,58,47,2,loss5
1765460910238,49,49,1765460910230,8,49,2,loss5
1765460910280,50,50,1765460910280,0,8,2,loss5
1765460910331,51,51,1765460910330,1,1,2,loss5
1765460910382,52,52,1765460910381,1,1,2,loss5
1765460910432,53,53,1765460910431,1,0,2,loss5
1765460910482,54,54,1765460910482,0,0,2,loss5
1765460910533,55,55,1765460910532,1,1,2,loss5
1765460910583,56,56,1765460910583,0,0,2,loss5
1765460910633,57,57,1765460910633,0,0,2,loss5
1765460910683,58,58,1765460910683,0,0,2,loss5
1765460910785,60,60,1765460910784,1,52,2,loss5
1765460910835,61,61,1765460910834,1,0,2,loss5
1765460910885,62,62,1765460910884,1,0,2,loss5
1765460910935,63,63,1765460910935,0,0,2,loss5
1765460910986,64,64,1765460910986,0,1,2,loss5
1765460911036,65,65,1765460911036,0,0,2,loss5
1765460911087,66,66,1765460911087,0,1,2,loss5
1765460911137,67,67,1765460911137,0,0,2,loss5
1765460911187,68,68,1765460911187,0,0,2,loss5
1765460911238,69,69,1765460911238,0,1,2,loss5
1765460911288,70,70,1765460911288,0,0,2,loss5
1765460911338,71,71,1765460911338,0,0,2,loss5
1765460911389,72,72,1765460911389,0,1,2,loss5
1765460911441,73,73,1765460911439,2,2,2,loss5
1765460911490,74,74,1765460911490,0,1,2,loss5
1765460911541,75,75,1765460911540,1,1,2,loss5
1765460911591,76,76,1765460911591,0,0,2,loss5
1765460911641,77,77,1765460911641,0,0,2,loss5
1765460911691,78,78,1765460911691,0,0,2,loss5
1765460911742,79,79,1765460911742,0,1,2,loss5
1765460911792,80,80,1765460911792,0,0,2,loss5
1765460911843,81,81,1765460911843,0,1,2,loss5
1765460911894,82,82,1765460911893,1,1,2,loss5
1765460911944,83,83,1765460911944,0,0,2,loss5
1765460911995,84,84,1765460911995,0,1,2,loss5
1765460912046,85,85,1765460912045,1,1,2,loss5
1765460912096,86,86,1765460912096,0,0,2,loss5
1765460912147,87,87,1765460912146,1,1,2,loss5
1765460912197,88,88,1765460912197,0,0,2,loss5
1765460912248,89,89,1765460912247,1,1,2,loss5
1765460912298,90,90,1765460912298,0,0,2,loss5
1765460912349,91,91,1765460912349,0,1,2,loss5
1765460912400,92,92,1765460912399,1,1,2,loss5
1765460912450,93,93,1765460912450,0,0,2,loss5
1765460912501,94,94,1765460912500,1,1,2,loss5
1765460912552,95,95,1765460912551,1,1,2,loss5
1765460912602,96,96,1765460912602,0,0,2,loss5
1765460912653,97,97,1765460912652,1,1,2,loss5
1765460912704,98,98,1765460912703,1,1,2,loss5
1765460912754,99,99,1765460912753,1,0,2,loss5
1765460912804,100,100,1765460912804,0,0,2,loss5
1765460912855,101,101,1765460912855,0,1,2,loss5
1765460912906,102,102,1765460912906,0,1,2,loss5
1765460912957,103,103,1765460912956,1,1,2,loss5
1765460913008,104,104,1765460913007,1,1,2,loss5
1765460913058,105,105,1765460913057,1,0,2,loss5
1765460913108,106,106,1765460913108,0,0,2,loss5
1765460913159,107,107,1765460913159,0,1,2,loss5
1765460913260,109,109,1765460913260,0,51,2,loss5
1765460913311,110,110,1765460913311,0,1,2,loss5
1765460913362,111,111,1765460913361,1,1,2,loss5
1765460913414,112,112,1765460913412,2,2,2,loss5
1765460913463,113,113,1765460913462,1,1,2,loss5
1765460913513,114,114,1765460913513,0,0,2,loss5
1765460913615,116,116,1765460913614,1,52,2,loss5
1765460913665,117,117,1765460913665,0,0,2,loss5
1765460913716,118,118,1765460913716,0,1,2,loss5
1765460913767,119,119,1765460913766,1,1,2,loss5
1765460913818,120,120,1765460913818,0,1,2,loss5
1765460913869,121,121,1765460913869,0,1,2,loss5
1765460913920,122,122,1765460913920,0,1,2,loss5
1765460913971,123,123,1765460913971,0,1,2,loss5
1765460914072,125,125,1765460914071,1,51,2,loss5
1765460914122,126,126,1765460914122,0,0,2,loss5
1765460914173,127,127,1765460914172,1,1,2,loss5
1765460914223,128,128,1765460914223,0,0,2,loss5
1765460914274,129,129,1765460914274,0,1,2,loss5
1765460914325,130,130,1765460914324,1,1,2,loss5
1765460914376,131,131,1765460914375,1,1,2,loss5
1765460914426,132,132,1765460914426,0,0,2,loss5
